[INFO] | 2024-11-10 07:38:36 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Analysis started at: 2024-11-10 07:38:36 AM
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function constructor
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for activate
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for activate
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function activate
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for invest
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for invest
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function invest
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Processed function fallback
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Value Range Analysis took 0.044590 seconds
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Dependency detection started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Static Analysis took 5.734076 seconds
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Dependency does not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Analysis finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Analysis took 5.734298 seconds
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd012717342c0a7a24b840605fe7756f6094c9570 | Analysis finished at: 2024-11-10 07:38:42 AM

real	0m7.782s
user	0m8.419s
sys	0m1.798s
