[INFO] | 2024-11-10 07:39:07 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Analysis started at: 2024-11-10 07:39:07 AM
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function constructor
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for setWallet1
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for setWallet1
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function setWallet1
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for setWallet2
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for setWallet2
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function setWallet2
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for withdraw
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for withdraw
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function withdraw
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for fallback
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for fallback
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function fallback
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function onlyOwner
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function transferOwnership
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function transferOwnership
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for setNewWallet1
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for setNewWallet1
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function setNewWallet1
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Generating return summary for setNewWallet2
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Return summary generated for setNewWallet2
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Range graph generated
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Processed function setNewWallet2
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Value Range Analysis took 0.003882 seconds
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Dependency detection started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Dependency detection finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Static Analysis took 1.179947 seconds
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Dependency does not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Analysis finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Analysis took 1.180184 seconds
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xde7c2911cac44d5949cbe80b0c7d38f7a476cbad | Analysis finished at: 2024-11-10 07:39:08 AM

real	0m2.853s
user	0m3.816s
sys	0m2.522s
