[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Analysis started at: 2024-11-10 07:38:26 AM
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Processed function AddMessage
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Generating return summary for Put
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Return summary generated for Put
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Range graph generated
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Processed function Put
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Generating return summary for Collect
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Return summary generated for Collect
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Range graph generated
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Processed function Collect
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Range graph generated
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Processed function fallback
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Value Range Analysis took 0.007313 seconds
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Dependency detection started!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Static Analysis took 1.131325 seconds
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Dependency does not exist
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Analysis finished!
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Analysis took 1.131835 seconds
[INFO] | 2024-11-10 07:38:27 AM | analyzer.0x774853153c3cc175a3606c58d6f27f6b57e72fd3 | Analysis finished at: 2024-11-10 07:38:27 AM

real	0m3.175s
user	0m3.653s
sys	0m2.029s
