[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Analysis started at: 2024-11-10 07:39:16 AM
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Return summary generated for allowance
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Processed function allowance
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Generating return summary for approve
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Return summary generated for approve
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Processed function approve
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Processed function transferFrom
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Range graph generated
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Processed function constructor
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Generating return summary for unlockTreasure
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Return summary generated for unlockTreasure
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Range graph generated
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Processed function unlockTreasure
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Value Range Analysis took 0.002153 seconds
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Dependency detection started!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Dependency detection finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Static Analysis took 0.868155 seconds
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Dependency does not exist
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Analysis finished!
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Analysis took 0.868345 seconds
[INFO] | 2024-11-10 07:39:17 AM | analyzer.0x299e52c5d34596c05a04b61514dd79808167015a | Analysis finished at: 2024-11-10 07:39:17 AM

real	0m2.480s
user	0m3.748s
sys	0m2.618s
