Smart Contract,Function Name,new label,Reason_English,Function Security,Gas limit,Trusty Address,RE,is_student,Comments
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain._mintFarmTokenAmount,1.0,"It may be REE, _farmTokenCollection is initialized in the init function, and init is not protected by a modifier; although it is a private function, there is also no obvious protective code for calling this function.",,,,1.0,0.0,"
"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain._removeLiquidity,1.0,"It may be REE, IAMM(setupInfo.ammPlugin).removeLiquidity(lpData), where setupInfo is assigned a value in _setOrAddFarmingSetupInfo, and the init that calls this function has no safety protection.",,,,1.0,0.0,"RE -- _safeTransfer(setupInfo.liquidityPoolTokenAddress, exitFeeWallet, fee);"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain._toggleSetup,1.0,"It may be REE, the extension variable is assigned a value in init, but init does not provide protection.",,,,1.0,1.0,"RE -- require(block.number > _setupsInfo[setup.infoIndex].startBlock, ""Too early for this setup"");--------"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.addLiquidity,0.0,"It is not REE, and there is protection modified by byPositionOwner.",1.0,,,0.0,0.0,No RE --- no ext call
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.openPosition,1.0,"It may be REE, the jump variable amm comes from the function.",,,,1.0,1.0,--------
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.unlock,0.0,"Not REE, there is protection modified by byPositionOwner.",1.0,,,1.0,0.0,"
"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.withdrawLiquidity,1.0,"It may be REE, the init function is not protected.",,,,1.0,0.0,"RE -- withdrawReward, delete setups[]"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.withdrawReward,0.0,"It is not REE, there is protection modified by byPositionOwner.",1.0,,,1.0,1.0,RE -- delete _positions[positionId];--------
0x00b25822e3b8f8720b327f2df8e7c6f96271c8dc,JINJAINU.ContractTransfer,0.0,"It is not REE, taxTokenSwap is an indirect external call, where uniV2Router in addLiquidity is hard-coded in the GoLive function, which is OnlyOwner; both marketingaddress and devaddress are hard-coded in the constructor.",,,1.0,0.0,0.0,no RE -- ext call at the end
0x00b6358d1ac8d3731defd6b4d593b6ba04f9b8ea,EtherRolling.emergencyWithdraw,0.0,"It is not REE, payable(msg.sender).transfer(to_payout); there is a gas limit.",,1.0,,1.0,0.0,"
"
0x00b6358d1ac8d3731defd6b4d593b6ba04f9b8ea,EtherRolling.withdraw,0.0,"It is not REE, payable(msg.sender).transfer(to_payout); there is a gas limit; _token is private in the contract and is initialized in the constructor.",,1.0,1.0,1.0,1.0,--------
0x00dd5ad8f5d9c5118bceeb526c55ea6b2c07e922,Venify._transfer,0.0,"It is not REE; the address called in swapTokensForETH is hardcoded. The sendETH function may seem to have REE, but the incoming parameters result in the address being hardcoded, and changeBuyBackWallet is OnlyOwner.",,,1.0,0.0,0.0,No RE --- Sends ETH to a fixed address
0x00fe8ef58dc8282cac6e1d275acf0821c5084e88,Wallet.confirm,0.0,It is not REE; the modifier onlymanyowners allows execution only after all owners have accessed it.,1.0,,,0.0,1.0,No RE --- modifier onlymanywoners---------- No RE : modifieronlymanyowners
0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed,Finplether.doInvest,1.0,"It is REE, notFromContract prevents calls from contracts, thereby preventing reentrancy (update, some checks whether it is a contract use codesize, but this can be bypassed and is therefore unreliable). It is REE, referrerAddr.notZero() where refererAddr is a user input variable.",,,,1.0,1.0,--------
0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d,CB_BANK.Collect,1.0,Typical REE structure.,,,,1.0,1.0,---------- Reason for RE: state var. acc.balance
0x0321be5f545ea569424aace4dc08d60f467229ac,BlackErc20.mintProof,0.0,"It's not REE, the wethAddress was already hardcoded when declared.",,,1.0,1.0,0.0,"
"
0x03358425ada4620246dd703dc1f2246b8e148d22,BoomerangLiquidity.payout,1.0,"It may cause REE, participants[payoutOrder].etherAddress.call.value(payoutToSend).gas(1000000)(); External calls are externally controllable (but may not constitute an attack).",,,,1.0,1.0,--------UX: participants[payoutOrder].etherAddress.call.value(payoutToSend).gas(1000000)(); -- not checked -- RE: payoutOrder
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.bid,1.0,"It could be REE, the Token is assigned by _mintableToken, but this is a function parameter.",,,,1.0,0.0,"
"
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.buy,1.0,"It might be REE, the ERC20 Token address is not trustworthy.",,,,1.0,0.0,"
"
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.collect,1.0,"It could be REE, the Token is assigned by _mintableToken, but this is a function parameter.",,,,1.0,0.0,"
"
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.withdrawERC20,0.0,"It is not REE, there is onlyOwner modification.",1.0,,,0.0,1.0,No RE because of onlyOwner--------
0x0453aa2dafff030614d9afef6c724ec2bee60876,SwifyStaking.closePosition,0.0,"Not REE, there is a nonReentrant modifier.",1.0,,,0.0,1.0,No RE because of modifier non reentrant--------
0x0461c4e4b916bfc9449f853c7a854033b43c3a6c,Auction.start,0.0,"Not REE, with lock modification.",1.0,,,0.0,1.0,No RE because of modifier lock---------- UX: WRAPPED_ETH.deposit.value(balance)();
0x049658b3cc6ec345aaf2be7233a33da24ee82150,Bozu.internalTransfer,0.0,"It is not REE, taxTokenSwap is an indirect external call, and the uniV2Router in addLiquidity is hardcoded in the GoLive function, which is OnlyOwner.",,,1.0,1.0,0.0,"
"
0x04d660832910ff492e940daff9ec7b3497e886ac,Revolution2.doInvest,1.0,"It is REE, although notFromContract prevents calls from contracts, thereby preventing reentrancy. (Update: some checks for whether it is a contract use codesize, but this can be bypassed, so it is unreliable.) It is REE, in referrerAddr.notZero(), refererAddr is a user input variable.",,,,1.0,1.0,--------
0x04f062809b244e37e7fdc21d9409469c989c2342,Joyso.migrateByAdmin_DQV,0.0,"Not REE, there is OnlyAdmin modification.",1.0,,,0.0,1.0,No RE -- onlyAdmin--------
0x051bda85fbc58ace9d6060ba9488abe120ac072d,CRYPTOVATOR._transfer,0.0,It is not REE; the swapBack() function has the lockTheSwap modifier.,1.0,,,0.0,0.0,"
"
0x0544ada225de796baa4030877314a96faacea7fc,ExclusiveDividendTracker._withdrawDividendOfUser,0.0,"It is not REE, (bool success,) = user.call{value : _withdrawableDividend, gas : 3000}(""""); There is a gas limit restriction.",,1.0,,0.0,1.0,--------
0x0544ada225de796baa4030877314a96faacea7fc,ExclusiveDividendTracker.process,0.0,"It is not REE, but an indirect external call continues to call _withdrawDividendOfUser in processAccount, with the ultimate reason being the same as above.",,1.0,,0.0,1.0,--------
0x05af72594440cf75c0fdcbbd9993fc26f62c7afc,TwelveHourAuction.buy,0.0,"Not REE, (and controlled by the disableContract flag) multi-hop indirect calls, all jumps must either be transfers with gas limits, or TwelveHourToken is assigned in the setTwelveHourToken function modified by onlyowner.",,1.0,1.0,1.0,0.0,RE -- repay = ...g.keyLevel
0x06012c8cf97bead5deae237070f9587f8e7a266d,KittyBreeding.giveBirth,0.0,"It is not REE, geneScience.mixGenes(matron.genes, sire.genes, matron.cooldownEndBlock-1) in which geneScience is assigned a value in setGeneScienceAddress, and it has OnlyCEO modifier.",,,1.0,1.0,1.0,RE -- mixGenes can reenter--------
0x0608d0d987ca8371af38fa0b6e028760110b987e,DeflatLottoBurn.fallback,0.0,"Not REE, send has a gas limit, tokenReward is hardcoded.",,1.0,1.0,1.0,1.0,---------- Reason for RE: playerPool.length
0x064c81842a12127759b85f3b2d261abcacc2bfb0,VotingChallenge.sendReward,0.0,"Not REE, to.transfer has a gas limit, the forwarder is initialized in the constructor.",,1.0,1.0,1.0,1.0,RE -- voters[to].fullVotes[winner]--------
0x0654b7f747c9ee9f5fb5eba443e9fe64f1fa77ef,SAFX._transferFrom,0.0,"Not REE, the router is hardcoded at declaration, and the swapping modifier has a locking effect.",1.0,,1.0,0.0,0.0,"
"
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.DayQuKuan,0.0,"It is not REE, transfer has a gas limit, bebTokenTransfer is assigned a value in the constructor.",,1.0,1.0,1.0,1.0,--------
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.DayQuKuanUsdt,0.0,"It is not REE, transfer has a gas limit, same as above.",,1.0,1.0,1.0,0.0,"
"
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.quhuiBET,0.0,"Not REE, transfer has a gas limit, same as above.",,1.0,1.0,1.0,0.0,"
"
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.setETH,0.0,"It is not REE, bebTokenTransfer is assigned a value in the constructor.",,,1.0,1.0,0.0,"
"
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.setUSDT,0.0,"It’s not REE, bebTokenTransfer is assigned a value in the constructor.",,,1.0,1.0,0.0,"
"
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.setVoteFandui,0.0,"It is not REE, bebTokenTransferBET is assigned a value in the constructor.",,,1.0,1.0,0.0,"
"
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.setVoteZancheng,0.0,"It is not REE, bebTokenTransferBET is assigned a value in the constructor.",,,1.0,1.0,1.0,--------
0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e,MonkeyScam.determinePID,0.0,"It is not REE, PlayerBook was hardcoded at the time of the declaration.",,,1.0,1.0,0.0,RE -- getPlayerName can reenter
0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e,MonkeyScam.endRound,0.0,"Not REE, MonkeyKingCorp was hardcoded during the statement.",,,1.0,0.0,1.0,No RE --sending Eth to fixed address---------- No RE: address MonkeyKingCorp is fixed
0x0719feee345bf34877d0a1f2c1c40fcdf0f1c3e8,charge.claimFarmedToken,0.0,"It is not REE, _isWithdrawing has a lock structure, and _UniswapRouter in claimFarmedToken is initialized in the constructor.",1.0,,,1.0,0.0,"
"
0x07a6ebf8549dd5cfdf201f6de9e7487113434dd7,Multiplier.pay,0.0,"Not REE, send has a gas limit.",,1.0,,1.0,1.0,--------
0x07a6ebf8549dd5cfdf201f6de9e7487113434dd7,Multiplier.refunding,0.0,"It's not REE, send has a gas limit.",,1.0,,1.0,1.0,--------
0x07a6ebf8549dd5cfdf201f6de9e7487113434dd7,Multiplier.singleRefunding,0.0,"It is not REE, send has a gas limit.",,1.0,,1.0,1.0,--------
0x07c1c8c2bce6290daa554118b7d208041615ce54,RC.refundEther,0.0,"Not REE, onlyTokenSaleOwner modification.",1.0,,,0.0,0.0,No RE due to modifier
0x07c1c8c2bce6290daa554118b7d208041615ce54,RC.takeEther,0.0,It is not REE; tokenSaleContract is assigned a value in the constructor.,,,1.0,0.0,0.0,"
"
0x07c1c8c2bce6290daa554118b7d208041615ce54,RCpro.refundEther,0.0,"Not REE, only Token Sale Owner modification.",1.0,,,0.0,0.0,No RE -- modifier
0x07c1c8c2bce6290daa554118b7d208041615ce54,RCpro.takeEther,0.0,Not REE; tokenSaleContract is assigned a value in the constructor.,,,1.0,0.0,0.0,"
"
0x07ef026be5f1452f494e7af1b13a3333d5cd2d23,DividendDistributor.distributeDividend,0.0,"Not REE, EP hardcoded. Transfer has a gas limit.",,,1.0,1.0,1.0,--------
0x07ef026be5f1452f494e7af1b13a3333d5cd2d23,IceMachine._transferFrom,0.0,"It is not REE, and both indirect external calls are protected by a swapping modifier.",1.0,,,1.0,0.0,"
"
0x081d8a340d384cffca0c2dafbf45020d760d7576,SOLIDBLOCK.transferFrom,0.0,"Not REE, there is a lockTheSwap modification.",1.0,,,0.0,0.0,"
"
0x08715190074e24cf2145e8a61b784a1b5ac9a505,DogeviathanBasic.createCollectible,1.0,"It may be REE, Conclusion: This function will cause REE Problem. Conclusion: This function will not cause REE Problem.）to is the function parameter, and although it uses isContract to restrict non-contract calls, there is a possibility of being bypassed.",,,,1.0,1.0,--------
0x08759550264b7f8078d95eff8a0577001c833483,Canvas.buy,1.0,"It is REE. GPT believes that the holder is controllable, but aside from the initial assignment, anyone can call and switch the holder in the buy function or other functions. Meanwhile, the gas for the buy function is relatively high, leading to the problem of reentrancy where purchases can be repeated at an unchanged price.",,,,1.0,1.0,---------- gas limit may change in future
0x08cce68cfe23bbf13e3151c2a43dcc02623710d6,MoneyPrinter.distributeDividend,0.0,"Not REE, hardcoded. Transfer has a gas limit restriction.",,,1.0,1.0,1.0,--------
0x08cce68cfe23bbf13e3151c2a43dcc02623710d6,SaylorsLastHope._transfer,0.0,"Not REE, there is lockTheSwap modification.",1.0,,,0.0,0.0,"No RE -- 2nd external call at the end, 1st begining ext call does not reenter"
0x091ac882e57b89e071c8b153be3aab668a80303d,Town.claimExternalTokens,1.0,"It may be possible to REE, external calls are not trusted (but the risk or whether it constitutes an attack is unknown).",,,,1.0,1.0,--------
0x091ac882e57b89e071c8b153be3aab668a80303d,Town.claimFunds,0.0,"It is not REE, transfer has a gas limit.",,1.0,,1.0,0.0,"
"
0x091ac882e57b89e071c8b153be3aab668a80303d,Town.getTownTokens,0.0,"It is not REE, the transfer has a gas limit, and can be controlled in the _token constructor.",,1.0,1.0,1.0,1.0,--------
0x091ac882e57b89e071c8b153be3aab668a80303d,Town.remuneration,0.0,"It is not REE, the _token is assigned a value in the constructor.",,,1.0,1.0,1.0,RE -- if (restOfTokens > 0) {--------
0x092e038af43a42e0332810db3f50b923fb256ff0,Free3.claim,0.0,"Not REE, transfer has a gas limit, free is assigned a value in the constructor.",,1.0,1.0,1.0,1.0,---------- RE: stake.totalStaked
0x097a5e3d974332aa5612675caaaeb117091dc743,CoolUncle.distributeDividend,0.0,It is not REE; the SHIL address hardcoded transfer has a gas limit.,,,1.0,1.0,1.0,RE -- shares[shareholder].totalExcluded is used in getUnpaidEarnings----------No RE: protected by modifiers
0x097a5e3d974332aa5612675caaaeb117091dc743,ShibaUncle._transfer,0.0,"Not REE, lockTheSwap.",1.0,,,0.0,0.0,"No RE -- external call at the end, begining ext call does not reenter"
0x099764910a38190bbd317857e635e6f461b11119,IronHands.payout,1.0,"It may be REE, but the pit does not constitute an attack. participants[payoutOrder] is unreliable and user-controlled.",,,,1.0,1.0,---------- RE: payoutOrder
0x09a80172ed7335660327cd664876b5df6fe06108,Distribution.doPayments,0.0,"Not REE, transfer has a gas limit.",,1.0,,1.0,0.0,"
"
0x09a80172ed7335660327cd664876b5df6fe06108,OMPxContract.getFee,0.0,"It is not REE, the feeReceiverContract is trustworthy. There is a gas keyword.",,,1.0,1.0,1.0,--------
0x09ab651217b86d1ee7236e0fad1ebb19185fe769,MonkeyScam.determinePID,0.0,It is not REE; PlayerBook was hardcoded at the time of the statement.,,,1.0,1.0,0.0,RE -- getPlayerName can reenter
0x09ab651217b86d1ee7236e0fad1ebb19185fe769,MonkeyScam.endRound,0.0,It is not REE; MonkeyKing was hardcoded during the statement.,,,1.0,0.0,1.0,No RE -- send Eth to fixed address--------
0x09d063d9950cdf02d545ec6fb0166491e3ea4fd2,BEAST._transfer,0.0,"Not REE, there is a lockTheSwap modification.",1.0,,,0.0,0.0,"
"
0x09d063d9950cdf02d545ec6fb0166491e3ea4fd2,BensRevival.distributeDividend,0.0,"Not REE, REVIVAL hardcoded. Transfer has a gas limit.",,,1.0,1.0,1.0,----------No RE: protected by modifiers
0x09f5f9413cefd61044db02940540155507bdcc55,TwoCoinsOneMoonGame.withdraw,0.0,"It is not REE, the feeCollector has hardcoded.",,,1.0,0.0,1.0,"No RE -- 1st cann sends eth to fixed address, 2nd call is at the end--------"
0x09f6a183dc0375ccf8032c367881f3aafb5342ef,Bussiness.buy,0.0,"It is not REE, transfer has a gas limit, erc20 has hardcode.",,1.0,1.0,1.0,1.0,--------
0x09f6a183dc0375ccf8032c367881f3aafb5342ef,Bussiness.buyByUsdt,0.0,"It is not REE, the erc721Address and usdtToken are both hardcoded.",,,1.0,1.0,0.0,"
"
0x09f6a183dc0375ccf8032c367881f3aafb5342ef,Bussiness.removePrice,0.0,"It is not REE, transfer has a gas limit.",,1.0,,0.0,0.0,"
"
0x0a42ef719ee77820993b27369089ae2c6bd6ced5,dapMultisig.executeTokenTxn,0.0,"It is not REE, but modified by onlyOwner.",1.0,,,0.0,0.0,No RE -- modifier onlyOwner
0x0a42ef719ee77820993b27369089ae2c6bd6ced5,dapMultisig.executeTxn,0.0,"It is not REE, it has an onlyOwner modifier.",1.0,,,0.0,1.0,No RE -- modifier onlyOwner--------
0x0a5a0a14419f9db1da68cf2f550720e5df49d4fe,YZYVault._sendLotteryAmount,0.0,"It's not REE, yzy controllable transfer has a gas limit.",,,1.0,1.0,1.0,--------
0x0a5a0a14419f9db1da68cf2f550720e5df49d4fe,YZYVault.stake,0.0,"Not REE, the invocation point is controllable, fromTokenAddress is a function parameter, but since the function is internal, the parameters passed to the function are all public variables, those variables are safe.",,,1.0,0.0,1.0,No RE -- dynamic analysis is needed to detect the bug -- staker.stakedAmount = staker.stakedAmount.add(newBalance);--------
0x0a5a0a14419f9db1da68cf2f550720e5df49d4fe,YZYVault.unstake,0.0,"It is not REE, the call point is controllable, fromTokenAddress is a function parameter, but since the function is internal, the parameters passed into the function are all public variables, those variables are safe.",,,1.0,1.0,1.0,RE -- staker.stakedAmount--------
0x0a5b38ac2d24c4fafc19ceb2591b70ece0d005d1,Daoclub.liquidate,0.0,"It is not REE. Although there are onlyGpAndLp modifiers, it only requires balance > 0 or onlyowner -> which can confuse LLM; mainly because transfer has a gas limit, and _targetToken is hardcoded in init (even though it is not modified).",,1.0,1.0,1.0,1.0,--------RE: _amountOfGrandTotalLiquidation
0x0a5b38ac2d24c4fafc19ceb2591b70ece0d005d1,Daoclub.redemptionApproveOne,0.0,"Not REE, there is OnlyOwner modifier.",1.0,,,0.0,0.0,No RE -- modifier onlyOwner
0x0a5b38ac2d24c4fafc19ceb2591b70ece0d005d1,Daoclub.subscriptionCancel,0.0,"Not REE, transfer has a gas limit, _targetToken is hardcoded in init (although it is not modified).",,1.0,1.0,1.0,1.0,--------
0x0aabf9daefcd484405479d2748cbaedb53c33d87,DividendPayingToken._withdrawDividendOfUser,1.0,"The user is msg.sender, which will lead to a REE issue.",,,,0.0,1.0,--------
0x0aabf9daefcd484405479d2748cbaedb53c33d87,MRFROG.updateDividendTracker,0.0,"Not REE, has OnlyOwner modifier.",1.0,,,0.0,0.0,"
"
0x0aabf9daefcd484405479d2748cbaedb53c33d87,MRFROGDividendTracker.process,0.0,"It is not REE, its reported processAccount function has the Onlyowner modifier.",1.0,,,0.0,1.0,--------
0x0af27f9be4ac583a491ee6573ebdccf32d1b561c,TheBureau121._RFT,0.0,"Not REE, has OnlyOwner modifier.",1.0,,,0.0,0.0,"
"
0x0af27f9be4ac583a491ee6573ebdccf32d1b561c,TheBureau121.transferOwner,0.0,"It is not REE, it has OnlyOwner modifier.",1.0,,,0.0,1.0,no RE -- modifier onlyOwner --------
0x0b452278223d3954f4ac050949d7998e373e7e43,SUZUME.intializeContract,0.0,"It is not REE, it has the OnlyOwner modifier.",1.0,,,0.0,0.0,no RE -- modifier onlyOwner
0x0b452278223d3954f4ac050949d7998e373e7e43,SUZUME.transferOwner,0.0,"Not a REE, has OnlyOwner modifier.",1.0,,,0.0,1.0,no RE -- modifier onlyOwner ---------- no UX: given functions always return true
0x0b5ecbb411d8fe829e5eac253ee1f2dc05d8d1ae,KUNOICHIX._transfer,0.0,"Not REE, there is lockTheSwap modification.",1.0,,,0.0,0.0,no RE -- no ext call in _transfer
0x0b9e8415f47da353ccc7ad58234321f50d49063a,Emeejis.orderEmeejis,0.0,"Not REE, there is a reentrancy lock protection.",1.0,,,0.0,1.0,no RE -- reentrancyLock--------
0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132,ViVICO.contribute,0.0,"Not REE, external calls are trusted. Transfer has a gas limit.",,,1.0,1.0,0.0,RE -- totalDistributed
0x0c073c92e7684031cfc297b83ecc33619e864d18,XetherGames.placeBet,0.0,"It is not REE, xEtherTokensContract is assigned a value in the setXEtherContract method modified by onlyOwner.",,,1.0,1.0,0.0,RE -- bet.gambler
0x0c073c92e7684031cfc297b83ecc33619e864d18,XetherGames.placeBetRoulette,0.0,"It is not REE, xEtherTokensContract is assigned in setXEtherContract, which is decorated by onlyOwner.",,,1.0,1.0,0.0,"
"
0x0c073c92e7684031cfc297b83ecc33619e864d18,XetherGames.sendDividends,0.0,"It is not REE; xEtherTokensContract is assigned in setXEtherContract, which is modified by onlyOwner.",,,1.0,1.0,1.0,--------
0x0c2795fc4e1f57614eb78923dc78521ff0676fb8,BitChordCrowdsale.buy,0.0,"It is not REE, the transfer has a gas limit, the token is trustworthy.",,1.0,,1.0,0.0,RE -- stage_1_TokensSold
0x0c78003843b4a72b765938cb3b14aecb188dbc6a,Crowdsale.__callback,0.0,"""Not REE, if (msg.sender != oraclize_cbAddress()) revert();""",1.0,,,1.0,0.0,"
"
0x0c78003843b4a72b765938cb3b14aecb188dbc6a,Crowdsale.buyTokens,0.0,"It's not REE, the transfer has a gas limit, and the token is trustworthy.",,1.0,1.0,0.0,1.0,--------
0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe,VotingChallenge.sendReward,0.0,"It is not REE, transfer has a gas limit, and the forwarder is assigned a value in the constructor.",,1.0,1.0,1.0,1.0,RE -- voters[to].weightedVotes[winner]--------
0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676,Wallet.confirm,0.0,"Not REE, there is onlymanyowners protection.",1.0,,,0.0,1.0,no RE -- modifier onlymanywoners--------
0x0cb0a2136f2e80662eb5c50b96bfa3de85f335ce,IGLOO._transferFrom,0.0,"It is not REE, there is swapping protection.",1.0,,,0.0,0.0,no RE -- external call do not reenter
0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,EscrowGoods.arbYes,0.0,"It’s not REE, there is OnlyArbiter protection.",1.0,,,0.0,0.0,no RE -- external call is equipped with safetly lock against reentrancy
0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,EscrowGoods.getFees,0.0,"Not REE, there is OnlyArbiter protection.",1.0,,,0.0,1.0,no RE -- external call is equipped with safetly lock against reentrancy--------
0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,EscrowGoods.getMoney,0.0,"It is not REE, it has an atomic lock structure inside.",1.0,,,0.0,1.0,no RE -- external call is equipped with safetly lock against reentrancy---------- RE: safesend() sends ether
0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,EscrowGoods.yes,0.0,"It is not REE, it has an atomic lock structure inside.",1.0,,,0.0,0.0,no RE -- external call is equipped with safetly lock against reentrancy
0x0d5a83d8b2dd05cbb7183824dc71b31d3e6d838e,SEISHI.transferFrom,0.0,"It's not REE, there is locktheSwap protection.",1.0,,,1.0,0.0,"
"
0x0d75899cab4eec7b22b5bf3d4dd4d965ada8a8cb,FUEGO.transferFrom,0.0,"It is not REE, there is locktheSwap protection.",1.0,,,1.0,0.0,"
"
0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080,DappVolumeAd.updateAd,0.0,"Not REE, send has a gas limit.",,1.0,,1.0,1.0,---------- Reason for RE: reentering the function again can set the value of state var. purchaseTimestamp wrongly. It would affect other functions
0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080,DappVolumeAd.updateInvestor,0.0,"Not REE, send has a gas limit.",,1.0,,0.0,1.0,"no RE -- sending 60% of msg.value -- no benefit to attacker, moreover there is no need of reentrancy to perform the attack--------"
0x0d7e1053924599ceac270d3a28b839282781ecec,ExchangerV4.buy,0.0,It is not REE; formulaContract and tokenContract are assigned values in the constructor.,,,1.0,0.0,1.0,"no RE -- 1st call sends eth to owner, 2nd call at the end--------"
0x0e24224484c7e445438ae9ed9b03a0108ad798f2,ChipToken._transfer,0.0,"It is not REE, there is a modification of lockTheSwap.",1.0,,,0.0,0.0,"
"
0x0e30bc9512306534b85afd0c75065b455af55d45,COPIUM._transfer,0.0,"It's not REE, there is a lockTheSwap modification.",1.0,,,0.0,0.0,"
"
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiExchange.buyNac,0.0,"It is not REE, NamiAddr is modified in the constructor.",,,1.0,1.0,0.0,RE -- ask[_seller].volume = 0;
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiExchange.closeAskOrder,0.0,"It is not REE, NamiAddr is modified in the constructor.",,,1.0,0.0,0.0,RE. --  namitoken.transfer cannot reenter
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiExchange.closeBidOrder,0.0,"It is not REE, transfer has a gas limit.",,1.0,,1.0,0.0,"
"
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiExchange.sellNac,0.0,"Not REE, NamiAddr is modified in the constructor.",,,1.0,1.0,0.0,RE -- bid[_buyer].eth = 0;
