[INFO] | 2024-11-10 07:41:49 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Analysis started at: 2024-11-10 07:41:49 AM
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for allowance
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function allowance
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function transferFrom
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for approve
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for approve
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function approve
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for approveAndCall
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for approveAndCall
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function approveAndCall
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for transferAndCall
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for transferAndCall
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function transferAndCall
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for transferFromAndCall
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for transferFromAndCall
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function transferFromAndCall
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function onlyOwner
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function constructor
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function onlyOwner
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function transferOwnership
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for tokenBalance
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for tokenBalance
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function tokenBalance
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function transferOwnership
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function transferOwnership
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for tokenDetail
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for tokenDetail
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function tokenDetail
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for tokenPrice
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for tokenPrice
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function tokenPrice
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for tokenAddress
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for tokenAddress
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function tokenAddress
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for withdrawEther
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for withdrawEther
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function withdrawEther
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for withdrawToken
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for withdrawToken
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function withdrawToken
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for buyTokens
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for buyTokens
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function buyTokens
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for fallback
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for fallback
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function fallback
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Value Range Analysis took 0.006562 seconds
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Value Range Analysis finished
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Dependency detection started!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Dependency detection finished!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Static Analysis took 1.145365 seconds
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Dependency does not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Analysis finished!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Analysis took 1.145552 seconds
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Analysis finished at: 2024-11-10 07:41:50 AM
