[INFO] | 2024-11-10 07:37:09 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Analysis started at: 2024-11-10 07:37:09 AM
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Processed function Mattew
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Range graph generated
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Processed function fallback
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Value Range Analysis took 0.002968 seconds
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Dependency detection started!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Dependency detection finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Static Analysis took 0.998882 seconds
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Dependency does not exist
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Analysis finished!
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Analysis took 0.999168 seconds
[INFO] | 2024-11-10 07:37:10 AM | analyzer.0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d | Analysis finished at: 2024-11-10 07:37:10 AM
