[INFO] | 2024-11-10 07:37:47 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Analysis started at: 2024-11-10 07:37:47 AM
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Dependency detection started!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Dependency detection finished!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Static Analysis took 1.701446 seconds
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Dependency does not exist
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Analysis finished!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Analysis took 1.701708 seconds
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x4bb12d68c795462c12ec30ad82421218d9c32a7d | Analysis finished at: 2024-11-10 07:37:49 AM
