[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Analysis started at: 2024-11-10 07:39:33 AM
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function _getNextRoundUnlock
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for initLockedBalance
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for initLockedBalance
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Range graph generated
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function initLockedBalance
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for getNextRoundTime
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for getNextRoundTime
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function getNextRoundTime
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for getNextRoundUnlock
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for getNextRoundUnlock
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function getNextRoundUnlock
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for getLockInfo
[WARNING] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for getLockInfo
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function getLockInfo
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for unlock
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for unlock
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Range graph generated
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function unlock
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Value Range Analysis took 0.005319 seconds
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Dependency detection started!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Dependency detection finished!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Static Analysis took 1.435485 seconds
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Dependency does not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Analysis finished!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Analysis took 1.435682 seconds
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Analysis finished at: 2024-11-10 07:39:35 AM
