[INFO] | 2024-11-10 07:41:38 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Analysis started at: 2024-11-10 07:41:38 AM
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Range graph generated
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for onlyBeneficiary
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for onlyBeneficiary
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function onlyBeneficiary
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for atStage
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for atStage
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function atStage
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for fallback
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for fallback
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Range graph generated
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function fallback
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for confirmBeneficiary
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for confirmBeneficiary
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Range graph generated
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function confirmBeneficiary
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for endCrowdsale
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for endCrowdsale
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Range graph generated
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function endCrowdsale
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Range graph generated
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function withdraw
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for refund
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for refund
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Range graph generated
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function refund
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Value Range Analysis took 0.009160 seconds
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Value Range Analysis finished
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Dependency detection started!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Dependency detection finished!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Static Analysis took 1.806276 seconds
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Dependency does not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Analysis finished!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Analysis took 1.806549 seconds
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Analysis finished at: 2024-11-10 07:41:40 AM
