[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Analysis started at: 2024-11-10 07:38:41 AM
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function changeDeadline
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for changePrice
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for changePrice
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function changePrice
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for pauseCrowdsale
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for pauseCrowdsale
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function pauseCrowdsale
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for runCrowdsale
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for runCrowdsale
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function runCrowdsale
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Generating return summary for sendToBeneficiary
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Return summary generated for sendToBeneficiary
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Range graph generated
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Processed function sendToBeneficiary
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Value Range Analysis took 0.006332 seconds
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Dependency detection started!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Dependency detection finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Static Analysis took 1.400128 seconds
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Dependency does not exist
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Analysis finished!
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Analysis took 1.400403 seconds
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xd67aa6a98e99f979f23bf0da772d113fe6dbe50a | Analysis finished at: 2024-11-10 07:38:42 AM

real	0m3.318s
user	0m3.998s
sys	0m1.998s
