[INFO] | 2024-11-10 07:42:52 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Analysis started at: 2024-11-10 07:42:52 AM
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for onlyGuardian
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for onlyGuardian
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function onlyGuardian
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for isOpen
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for isOpen
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function isOpen
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function onlyOwner
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for goalNotReached
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for goalNotReached
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function goalNotReached
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for goalReached
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for goalReached
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function goalReached
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for fallback
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for fallback
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function fallback
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for transfer
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for transfer
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function transfer
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for claimBeercoins
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for claimBeercoins
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function claimBeercoins
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for setOwner
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for setOwner
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function setOwner
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for setOwner
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for setOwner
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function setOwner
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for claimFunds
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for claimFunds
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function claimFunds
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for pause
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for pause
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function pause
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for resume
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for resume
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function resume
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function withdraw
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Value Range Analysis took 0.015881 seconds
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Value Range Analysis finished
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Dependency detection started!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Dependency detection finished!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Static Analysis took 1.580131 seconds
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Dependency does not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Analysis finished!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Analysis took 1.580303 seconds
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Analysis finished at: 2024-11-10 07:42:54 AM

real	0m2.822s
user	0m5.010s
sys	0m3.769s
