[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Analysis started at: 2024-11-10 07:37:39 AM
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Dependency detection started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Static Analysis took 1.107873 seconds
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Dependency does not exist
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Analysis finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Analysis took 1.108160 seconds
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0x887e4f25db63b079dffed24283f0470b0704b8e8 | Analysis finished at: 2024-11-10 07:37:40 AM

real	0m3.076s
user	0m3.905s
sys	0m2.349s
