[INFO] | 2024-11-10 07:37:22 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Analysis started at: 2024-11-10 07:37:22 AM
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function Deal
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for safeMul
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for safeMul
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function safeMul
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for safeDiv
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for safeDiv
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function safeDiv
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for safeSub
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for safeSub
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function safeSub
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for safeAdd
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for safeAdd
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function safeAdd
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for sum
[WARNING] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for sum
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function sum
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for checkStatus
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for checkStatus
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function checkStatus
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for getAddressCreatorById
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for getAddressCreatorById
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function getAddressCreatorById
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for getTokenAmountForCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for getTokenAmountForCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function getTokenAmountForCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for getCurrentBalanceForCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for getCurrentBalanceForCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function getCurrentBalanceForCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for destroyCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for destroyCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function destroyCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for finishCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for finishCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function finishCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for sendCoin
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for sendCoin
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function sendCoin
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for createCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for createCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function createCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for addTokensToCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for addTokensToCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function addTokensToCampaign
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function transferOwnership
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for changeFeeAddress
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for changeFeeAddress
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function changeFeeAddress
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Generating return summary for updateTokenAddress
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Return summary generated for updateTokenAddress
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Range graph generated
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Processed function updateTokenAddress
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Value Range Analysis took 0.014484 seconds
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Dependency detection started!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Dependency detection finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Static Analysis took 2.475133 seconds
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Dependency does not exist
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Analysis finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Analysis took 2.475414 seconds
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x47f8c173083af430f4507124b63db55296500baf | Analysis finished at: 2024-11-10 07:37:25 AM

real	0m4.502s
user	0m5.115s
sys	0m2.184s
