[INFO] | 2024-11-10 07:38:23 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Analysis started at: 2024-11-10 07:38:23 AM
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Return summary generated for buy
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Range graph generated
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Processed function buy
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Range graph generated
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Range graph generated
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Processed function fallback
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Value Range Analysis took 0.003707 seconds
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Dependency detection started!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Static Analysis took 1.208630 seconds
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Dependency does not exist
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Analysis finished!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Analysis took 1.209024 seconds
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Analysis finished at: 2024-11-10 07:38:24 AM

real	0m3.074s
user	0m3.791s
sys	0m2.065s
