[INFO] | 2024-11-10 07:42:59 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Analysis started at: 2024-11-10 07:42:59 AM
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function sub
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for add
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for add
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function add
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for transfer
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for transfer
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function transfer
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for TBECrowdsale
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for TBECrowdsale
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function TBECrowdsale
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for isCreator
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for isCreator
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function isCreator
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for sendToken
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for sendToken
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function sendToken
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for fallback
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for fallback
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function fallback
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for setOwner
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for setOwner
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function setOwner
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for setCreator
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for setCreator
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function setCreator
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for setStartDate
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for setStartDate
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function setStartDate
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for setEndtDate
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for setEndtDate
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function setEndtDate
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for setbonusDate
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for setbonusDate
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function setbonusDate
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for setPrice
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for setPrice
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function setPrice
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for settokenCap
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for settokenCap
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function settokenCap
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for addToWhitelist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for addToWhitelist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function addToWhitelist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for addToCategorie1
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for addToCategorie1
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function addToCategorie1
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for addToCategorie2
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for addToCategorie2
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function addToCategorie2
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for setToken
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for setToken
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Range graph generated
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function setToken
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Generating return summary for kill
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Return summary generated for kill
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Processed function kill
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Value Range Analysis took 0.007068 seconds
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Value Range Analysis finished
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Dependency detection started!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Dependency detection finished!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Static Analysis took 1.522314 seconds
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Dependency does not exist
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Analysis finished!
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Analysis took 1.522490 seconds
[INFO] | 2024-11-10 07:43:01 AM | analyzer.0x12db622c98d75f6f19493d9acbc7479fe382ec44 | Analysis finished at: 2024-11-10 07:43:01 AM

real	0m2.833s
user	0m4.938s
sys	0m3.954s
