[INFO] | 2024-11-10 07:38:06 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Analysis started at: 2024-11-10 07:38:06 AM
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Range graph generated
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Processed function Sort
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Generating return summary for onlyowner
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Return summary generated for onlyowner
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Processed function onlyowner
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Range graph generated
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Processed function fallback
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Generating return summary for Count
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Return summary generated for Count
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Processed function Count
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Value Range Analysis took 0.004232 seconds
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Dependency detection started!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Dependency detection finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Static Analysis took 1.080776 seconds
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Dependency does not exist
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Analysis finished!
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Analysis took 1.081080 seconds
[INFO] | 2024-11-10 07:38:07 AM | analyzer.0x9d24335fd550568615bc81f8c0aa72aaa70ab93a | Analysis finished at: 2024-11-10 07:38:07 AM
