[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Analysis started at: 2024-11-10 07:37:41 AM
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function transfer
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function transferFrom
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for mintToken
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for mintToken
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function mintToken
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for freezeAccount
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for freezeAccount
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function freezeAccount
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for setPrices
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for setPrices
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function setPrices
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for buy
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for buy
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function buy
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for sell
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for sell
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function sell
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function fallback
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Range graph generated
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Value Range Analysis took 0.006163 seconds
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Dependency detection started!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Static Analysis took 1.992451 seconds
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Dependency does not exist
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Analysis finished!
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Analysis took 1.992657 seconds
[INFO] | 2024-11-10 07:37:43 AM | analyzer.0x9accb8fe0d9df53ce0040bc78d1294e1f55dcc88 | Analysis finished at: 2024-11-10 07:37:43 AM
