[INFO] | 2024-11-10 07:37:20 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Analysis started at: 2024-11-10 07:37:20 AM
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for announceWinner
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function announceWinner
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for setCreationFee
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for setCreationFee
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function setCreationFee
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for createButton
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for createButton
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function createButton
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function withdraw
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for press
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for press
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function press
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for newPresserFee
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for newPresserFee
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function newPresserFee
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for close
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for close
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function close
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Value Range Analysis took 0.010001 seconds
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Dependency detection started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | DAO dependency detected in file 0x380e0f015c0a830dc5d25e5f99570ad0be275350.sol in contract ButtonFactory in by composing functions createButton and announceWinner
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Static Analysis took 2.657863 seconds
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Dependency exists
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Invoking symbolic executor!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Symbolic execution took 1.704732 seconds
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Symbolic execution finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Analysis finished!
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Analysis took 4.363393 seconds
[INFO] | 2024-11-10 07:37:25 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Analysis finished at: 2024-11-10 07:37:25 AM
