[INFO] | 2024-11-10 07:43:33 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Analysis started at: 2024-11-10 07:43:33 AM
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Range graph generated
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Processed function deposit
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Generating return summary for onlyowner
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Return summary generated for onlyowner
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Processed function onlyowner
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Generating return summary for fallback
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Return summary generated for fallback
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Range graph generated
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Processed function fallback
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Generating return summary for withdraw
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Return summary generated for withdraw
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Processed function withdraw
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Generating return summary for kill
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Return summary generated for kill
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Processed function kill
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Value Range Analysis took 0.001922 seconds
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Value Range Analysis finished
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Dependency detection started!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Dependency detection finished!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Static Analysis took 0.708005 seconds
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Dependency does not exist
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Analysis finished!
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Analysis took 0.708183 seconds
[INFO] | 2024-11-10 07:43:34 AM | analyzer.0xfae0300c03a1ea898176bcb39f919c559f64f4ff | Analysis finished at: 2024-11-10 07:43:34 AM
