[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Analysis started at: 2024-11-10 07:37:21 AM
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Processed function fallback
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Generating return summary for checkGoalReached
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Return summary generated for checkGoalReached
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Processed function checkGoalReached
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Generating return summary for safeWithdrawal
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Return summary generated for safeWithdrawal
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Processed function safeWithdrawal
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Value Range Analysis took 0.005037 seconds
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Dependency detection started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Dependency detection finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Static Analysis took 1.314565 seconds
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Dependency does not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Analysis finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Analysis took 1.314893 seconds
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x91d7e5895f7a635ba8bdce9e2be544e5e527135f | Analysis finished at: 2024-11-10 07:37:23 AM
