[INFO] | 2024-11-10 07:37:57 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Analysis started at: 2024-11-10 07:37:57 AM
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Return summary generated for changeQuota
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Range graph generated
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Processed function changeQuota
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Generating return summary for refundTicket
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Return summary generated for refundTicket
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Range graph generated
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Processed function refundTicket
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Generating return summary for destroy
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Return summary generated for destroy
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Processed function destroy
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Value Range Analysis took 0.003489 seconds
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Dependency detection started!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Static Analysis took 1.116574 seconds
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Dependency does not exist
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Analysis finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Analysis took 1.116871 seconds
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Analysis finished at: 2024-11-10 07:37:58 AM
