[INFO] | 2024-11-10 07:38:08 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Analysis started at: 2024-11-10 07:38:08 AM
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Dependency detection started!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Dependency detection finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Static Analysis took 1.352403 seconds
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Dependency does not exist
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Analysis finished!
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Analysis took 1.352689 seconds
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x62500ad71aa50744bbd4917d1a64938897e952bf | Analysis finished at: 2024-11-10 07:38:09 AM
