[INFO] | 2024-11-10 07:37:50 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Analysis started at: 2024-11-10 07:37:50 AM
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function fallback
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function AddMessage
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for Deposit
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for Deposit
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function Deposit
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Generating return summary for CashOut
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Return summary generated for CashOut
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Range graph generated
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Processed function CashOut
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Value Range Analysis took 0.004527 seconds
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Dependency detection started!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | DAO dependency detected in file 0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol in contract ETH_VAULT in by composing functions CashOut and CashOut
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Dependency detection finished!
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Static Analysis took 1.220697 seconds
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Dependency exists
[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Invoking symbolic executor!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Symbolic execution took 1.880279 seconds
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Symbolic execution finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Analysis finished!
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Analysis took 3.101796 seconds
[INFO] | 2024-11-10 07:37:53 AM | analyzer.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f | Analysis finished at: 2024-11-10 07:37:53 AM
