[INFO] | 2024-11-10 07:41:19 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Analysis started at: 2024-11-10 07:41:19 AM
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Dependency detection started!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Dependency detection finished!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Static Analysis took 1.007920 seconds
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Dependency does not exist
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Analysis finished!
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Analysis took 1.008106 seconds
[INFO] | 2024-11-10 07:41:20 AM | analyzer.0xad43e8ba48a974e6dc5a385d87fc8cd1fe94a408 | Analysis finished at: 2024-11-10 07:41:20 AM
