[INFO] | 2024-11-10 07:38:47 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Analysis started at: 2024-11-10 07:38:47 AM
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Processed function balanceOf
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Generating return summary for BDSM_Crowdsale
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Return summary generated for BDSM_Crowdsale
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Range graph generated
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Processed function BDSM_Crowdsale
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Range graph generated
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Range graph generated
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Processed function fallback
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Value Range Analysis took 0.006889 seconds
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Dependency detection started!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Static Analysis took 1.713514 seconds
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Dependency does not exist
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Analysis finished!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Analysis took 1.713831 seconds
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Analysis finished at: 2024-11-10 07:38:49 AM
