[INFO] | 2024-11-10 07:39:06 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Analysis started at: 2024-11-10 07:39:06 AM
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Dependency detection started!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Dependency detection finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Static Analysis took 1.729575 seconds
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Dependency does not exist
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Analysis finished!
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Analysis took 1.729801 seconds
[INFO] | 2024-11-10 07:39:08 AM | analyzer.0xc543afe640c8c7521beb6549be75f77b568f4590 | Analysis finished at: 2024-11-10 07:39:08 AM
