[INFO] | 2024-11-10 07:37:01 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Analysis started at: 2024-11-10 07:37:01 AM
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Range graph generated
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Processed function fallback
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Value Range Analysis took 0.003123 seconds
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Dependency detection started!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | DAO dependency detected in file 0x42db5bfe8828f12f164586af8a992b3a7b038164.sol in contract firstTest in by composing functions fallback and fallback
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | DAO dependency detected in file 0x42db5bfe8828f12f164586af8a992b3a7b038164.sol in contract firstTest in by composing functions fallback and withdrawal
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | DAO dependency detected in file 0x42db5bfe8828f12f164586af8a992b3a7b038164.sol in contract firstTest in by composing functions withdrawal and fallback
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | DAO dependency detected in file 0x42db5bfe8828f12f164586af8a992b3a7b038164.sol in contract firstTest in by composing functions withdrawal and withdrawal
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Static Analysis took 1.171412 seconds
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Dependency exists
[INFO] | 2024-11-10 07:37:02 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Invoking symbolic executor!
[INFO] | 2024-11-10 07:37:03 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Symbolic execution took 1.084114 seconds
[INFO] | 2024-11-10 07:37:03 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Symbolic execution finished!
[INFO] | 2024-11-10 07:37:03 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Analysis finished!
[INFO] | 2024-11-10 07:37:03 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Analysis took 2.256273 seconds
[INFO] | 2024-11-10 07:37:03 AM | analyzer.0x42db5bfe8828f12f164586af8a992b3a7b038164 | Analysis finished at: 2024-11-10 07:37:03 AM
