[INFO] | 2024-11-10 07:37:19 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Analysis started at: 2024-11-10 07:37:19 AM
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function setPeriod
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function fallback
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for initData
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for initData
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function initData
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for updateCurrentPeriod
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for updateCurrentPeriod
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function updateCurrentPeriod
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for tokenFallback
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for tokenFallback
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function tokenFallback
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function transfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for getBalance
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for getBalance
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function getBalance
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for VestingContractWTTEST
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for VestingContractWTTEST
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function VestingContractWTTEST
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for setOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for setOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Range graph generated
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function setOwner
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Generating return summary for ownerTransfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Return summary generated for ownerTransfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Processed function ownerTransfer
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Value Range Analysis took 0.011491 seconds
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Dependency detection started!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Static Analysis took 2.300555 seconds
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Dependency does not exist
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Analysis finished!
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Analysis took 2.300778 seconds
[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x71aaf9dc418e9dde76aee42e431fc203d9cfd0c2 | Analysis finished at: 2024-11-10 07:37:21 AM
