[INFO] | 2024-11-10 07:38:06 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Analysis started at: 2024-11-10 07:38:06 AM
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function GetPlanByUid
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for GetPlanTimeByUid
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for GetPlanTimeByUid
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function GetPlanTimeByUid
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for isAdmin
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for isAdmin
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function isAdmin
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for isActivated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for isActivated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function isActivated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for sq
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for sq
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function sq
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for pwr
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for pwr
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function pwr
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for distributeRef
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for distributeRef
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function distributeRef
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for sqrt
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for sqrt
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function sqrt
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for register_
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for register_
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function register_
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function withdraw
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for constructor
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for constructor
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function constructor
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for activate
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for activate
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function activate
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for version1Invest
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for version1Invest
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function version1Invest
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for invest
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for invest
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function invest
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function fallback
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Value Range Analysis took 0.135679 seconds
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Dependency detection started!
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Static Analysis took 5.871292 seconds
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Dependency does not exist
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Analysis finished!
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Analysis took 5.871526 seconds
[INFO] | 2024-11-10 07:38:12 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Analysis finished at: 2024-11-10 07:38:12 AM

real	0m7.749s
user	0m8.286s
sys	0m1.848s
