[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Analysis started at: 2024-11-10 07:38:47 AM
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Processed function AddMessage
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Generating return summary for Put
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Return summary generated for Put
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Processed function Put
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Generating return summary for Collect
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Return summary generated for Collect
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Processed function Collect
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Processed function fallback
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Value Range Analysis took 0.003797 seconds
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Dependency detection started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Dependency detection finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Static Analysis took 1.113505 seconds
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Dependency does not exist
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Analysis finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Analysis took 1.113844 seconds
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x6e3c384480e71792948c29e9fc8d7b9c9d75ae8f | Analysis finished at: 2024-11-10 07:38:48 AM

real	0m2.904s
user	0m3.618s
sys	0m2.022s
