[INFO] | 2024-11-10 07:38:41 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Analysis started at: 2024-11-10 07:38:41 AM
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function transfer
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for getBalance
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for getBalance
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function getBalance
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for VestingContractWT
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for VestingContractWT
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function VestingContractWT
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for setOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for setOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function setOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Generating return summary for ownerTransfer
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Return summary generated for ownerTransfer
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Processed function ownerTransfer
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Value Range Analysis took 0.012039 seconds
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Dependency detection started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Static Analysis took 2.167388 seconds
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Dependency does not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Analysis finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Analysis took 2.167601 seconds
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x4f0499f4da2d75d03fcc2dc2d97ffae976246809 | Analysis finished at: 2024-11-10 07:38:43 AM

real	0m4.063s
user	0m4.703s
sys	0m1.832s
