[INFO] | 2024-11-10 08:37:51 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Analysis started at: 2024-11-10 08:37:51 AM
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Return summary generated for fallback
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Range graph generated
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Processed function fallback
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Value Range Analysis took 0.002372 seconds
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Value Range Analysis finished
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Storage dependency graph compostion started!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Dependency detection started!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Dependency detection finished!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Static Analysis took 0.808257 seconds
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Dependency does not exist
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Symbolic execution is not needed!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Analysis finished!
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Analysis took 0.808427 seconds
[INFO] | 2024-11-10 08:37:52 AM | analyzer.0x0e94278497e51629c78697dac758fded6c8f188f | Analysis finished at: 2024-11-10 08:37:52 AM

real	0m1.876s
user	0m4.336s
sys	0m4.071s
