[INFO] | 2024-11-10 07:38:46 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Analysis started at: 2024-11-10 07:38:46 AM
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Range graph generated
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Processed function fallback
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Generating return summary for getDeposits
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Return summary generated for getDeposits
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Processed function getDeposits
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Value Range Analysis took 0.005304 seconds
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Dependency detection started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Static Analysis took 2.081348 seconds
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Dependency does not exist
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Analysis finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Analysis took 2.081628 seconds
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x62b01d0aeb16656aff7a7632c3a61c8b069a8928 | Analysis finished at: 2024-11-10 07:38:48 AM

real	0m3.885s
user	0m4.638s
sys	0m1.988s
