[INFO] | 2024-11-10 07:39:57 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Analysis started at: 2024-11-10 07:39:57 AM
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Range graph generated
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Processed function Put
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Generating return summary for Collect
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Return summary generated for Collect
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Range graph generated
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Processed function Collect
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Generating return summary for fallback
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Return summary generated for fallback
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Range graph generated
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Processed function fallback
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Value Range Analysis took 0.002820 seconds
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Dependency detection started!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Dependency detection finished!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Static Analysis took 0.952150 seconds
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Dependency does not exist
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Analysis finished!
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Analysis took 0.952347 seconds
[INFO] | 2024-11-10 07:39:58 AM | analyzer.0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d | Analysis finished at: 2024-11-10 07:39:58 AM

real	0m2.534s
user	0m3.907s
sys	0m2.676s
