[INFO] | 2024-11-10 07:39:14 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Analysis started at: 2024-11-10 07:39:14 AM
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function onlyOwner
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for transfer
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function transfer
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function transferFrom
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for approve
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for approve
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function approve
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function balanceOf
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for allowance
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for allowance
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function allowance
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function constructor
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for _transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for _transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function _transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for getOfferDetails
[WARNING] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for getOfferDetails
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function getOfferDetails
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function onlyOwner
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for renounceOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for renounceOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function renounceOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for cancelTrade
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for cancelTrade
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function cancelTrade
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for take
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for take
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function take
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for reclaimToken
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for reclaimToken
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function reclaimToken
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for initiateTrade
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for initiateTrade
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function initiateTrade
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for renounceOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for renounceOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function renounceOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Value Range Analysis took 0.011104 seconds
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Dependency detection started!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Dependency detection finished!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Static Analysis took 1.931797 seconds
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Dependency does not exist
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Analysis finished!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Analysis took 1.932145 seconds
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Analysis finished at: 2024-11-10 07:39:16 AM
