[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Analysis started at: 2024-11-10 07:37:38 AM
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Return summary generated for Crowdsale
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Range graph generated
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Processed function Crowdsale
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Range graph generated
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Generating return summary for afterDeadline
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Return summary generated for afterDeadline
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Processed function afterDeadline
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Range graph generated
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Processed function fallback
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Generating return summary for closeCrowdSale
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Return summary generated for closeCrowdSale
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Range graph generated
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Processed function closeCrowdSale
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Generating return summary for safeWithdrawal
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Return summary generated for safeWithdrawal
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Processed function safeWithdrawal
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Value Range Analysis took 0.004070 seconds
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Dependency detection started!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Static Analysis took 1.161785 seconds
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Dependency does not exist
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Analysis finished!
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Analysis took 1.162068 seconds
[INFO] | 2024-11-10 07:37:40 AM | analyzer.0xc67c1f88f31e724b137a057292e55cb42a5f3241 | Analysis finished at: 2024-11-10 07:37:40 AM
