[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Analysis started at: 2024-11-10 07:38:41 AM
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for sub
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for sub
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function sub
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for add
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for add
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function add
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for initOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for initOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function initOwner
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for initOwner1
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for initOwner1
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function initOwner1
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function fallback
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for deposit
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for deposit
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function deposit
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for calculateInterest
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for calculateInterest
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function calculateInterest
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for payout
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for payout
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function payout
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for currentBalance
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for currentBalance
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function currentBalance
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for InterestTest
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for InterestTest
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function InterestTest
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for payInterest
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for payInterest
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function payInterest
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Value Range Analysis took 0.009325 seconds
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Dependency detection started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Static Analysis took 1.853014 seconds
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Dependency does not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Analysis finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Analysis took 1.853282 seconds
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Analysis finished at: 2024-11-10 07:38:43 AM
