[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Analysis started at: 2024-11-10 07:37:45 AM
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Range graph generated
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Processed function Collect
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Range graph generated
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Processed function fallback
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Value Range Analysis took 0.004011 seconds
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Dependency detection started!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Static Analysis took 1.133030 seconds
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Dependency does not exist
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Analysis finished!
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Analysis took 1.133318 seconds
[INFO] | 2024-11-10 07:37:46 AM | analyzer.0x60de9d9b062595cf10bc3fbf9ed5a6104befe882 | Analysis finished at: 2024-11-10 07:37:46 AM
