[INFO] | 2024-11-10 07:44:13 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Analysis started at: 2024-11-10 07:44:13 AM
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function div
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for sub
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for sub
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function sub
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for add
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for add
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function add
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for WashCrowdsale
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for WashCrowdsale
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Range graph generated
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function WashCrowdsale
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for ChangeDates
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for ChangeDates
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Range graph generated
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function ChangeDates
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Range graph generated
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for afterDeadline
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for afterDeadline
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function afterDeadline
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for fallback
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for fallback
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Range graph generated
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function fallback
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for getTokensBack
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for getTokensBack
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | State variable assignement do not exist
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function getTokensBack
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Generating return summary for endCrowdsale
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Return summary generated for endCrowdsale
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Range graph generated
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Processed function endCrowdsale
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Value Range Analysis took 0.004182 seconds
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Value Range Analysis finished
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Dependency detection started!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Dependency detection finished!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Static Analysis took 1.223336 seconds
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Dependency does not exist
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Analysis finished!
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Analysis took 1.223508 seconds
[INFO] | 2024-11-10 07:44:14 AM | analyzer.0xfcc74ab9a02d55b9b1d0c378547a6bcfad7597c9 | Analysis finished at: 2024-11-10 07:44:14 AM
