[INFO] | 2024-11-10 07:37:39 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Analysis started at: 2024-11-10 07:37:39 AM
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for withdrawTokens
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for withdrawTokens
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function withdrawTokens
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Range graph generated
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function withdraw
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for paySeller
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for paySeller
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Range graph generated
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function paySeller
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Range graph generated
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Processed function fallback
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Value Range Analysis took 0.012247 seconds
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Dependency detection started!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Static Analysis took 1.786209 seconds
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Dependency does not exist
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Analysis finished!
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Analysis took 1.786489 seconds
[INFO] | 2024-11-10 07:37:41 AM | analyzer.0x44f2f79343ac7244c09e0189df05588524a86515 | Analysis finished at: 2024-11-10 07:37:41 AM
