[INFO] | 2024-11-10 07:43:14 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Analysis started at: 2024-11-10 07:43:14 AM
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function sub
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for div
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for div
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function div
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for mod
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for mod
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function mod
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for addInvestor
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for addInvestor
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Range graph generated
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function addInvestor
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for payReward
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for payReward
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Range graph generated
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function payReward
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for returnDeposit
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for returnDeposit
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Range graph generated
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function returnDeposit
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Generating return summary for fallback
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Return summary generated for fallback
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Range graph generated
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Processed function fallback
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Value Range Analysis took 0.004139 seconds
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Value Range Analysis finished
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Dependency detection started!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Dependency detection finished!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Static Analysis took 1.543735 seconds
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Dependency does not exist
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Analysis finished!
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Analysis took 1.543910 seconds
[INFO] | 2024-11-10 07:43:15 AM | analyzer.0xf847b0052b9d369401b0d71465f28392ea7e3304 | Analysis finished at: 2024-11-10 07:43:15 AM

real	0m2.797s
user	0m5.246s
sys	0m4.073s
