[INFO] | 2024-11-10 07:37:54 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Analysis started at: 2024-11-10 07:37:54 AM
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Generating return summary for BDSM_Crowdsale
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Return summary generated for BDSM_Crowdsale
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Range graph generated
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Processed function BDSM_Crowdsale
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Range graph generated
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Range graph generated
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Processed function fallback
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Value Range Analysis took 0.007094 seconds
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Dependency detection started!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Static Analysis took 1.642897 seconds
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Dependency does not exist
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Analysis finished!
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Analysis took 1.643114 seconds
[INFO] | 2024-11-10 07:37:55 AM | analyzer.0x61683dfbe07e98a4edbddc2f1f1a44a75fa74912 | Analysis finished at: 2024-11-10 07:37:55 AM

real	0m3.423s
user	0m4.313s
sys	0m1.976s
