[INFO] | 2024-11-10 07:38:43 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Analysis started at: 2024-11-10 07:38:43 AM
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Return summary generated for Put
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Range graph generated
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Processed function Put
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Generating return summary for Collect
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Return summary generated for Collect
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Range graph generated
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Processed function Collect
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Range graph generated
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Processed function fallback
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Value Range Analysis took 0.002890 seconds
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Dependency detection started!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Dependency detection finished!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Static Analysis took 1.052405 seconds
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Dependency does not exist
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Analysis finished!
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Analysis took 1.052632 seconds
[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x79e784a77254aedbc6488ce0001abee487b1d88d | Analysis finished at: 2024-11-10 07:38:44 AM

real	0m2.883s
user	0m3.718s
sys	0m1.940s
