[INFO] | 2024-11-10 07:40:35 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Analysis started at: 2024-11-10 07:40:35 AM
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for div
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function div
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for sub
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for sub
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function sub
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for add
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for add
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function add
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Range graph generated
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for mul
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for mul
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function mul
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for div
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for div
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function div
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for sub
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for sub
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function sub
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for add
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for add
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function add
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for initOwner
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for initOwner
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Range graph generated
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function initOwner
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for initOwner1
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for initOwner1
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Range graph generated
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function initOwner1
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for fallback
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for fallback
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Range graph generated
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function fallback
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for deposit
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for deposit
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Range graph generated
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function deposit
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for calculateInterest
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for calculateInterest
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function calculateInterest
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for payout
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for payout
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function payout
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for currentBalance
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for currentBalance
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function currentBalance
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Range graph generated
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for InterestFinal
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for InterestFinal
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Range graph generated
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function InterestFinal
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Generating return summary for payInterest
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Return summary generated for payInterest
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Range graph generated
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Processed function payInterest
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Value Range Analysis took 0.006555 seconds
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Value Range Analysis finished
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Dependency detection started!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Dependency detection finished!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Static Analysis took 1.401075 seconds
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Dependency does not exist
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Analysis finished!
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Analysis took 1.401281 seconds
[INFO] | 2024-11-10 07:40:37 AM | analyzer.0x1d9fe29aec8852d7a32ac26b695c258840feba15 | Analysis finished at: 2024-11-10 07:40:37 AM

real	0m2.928s
user	0m4.241s
sys	0m2.771s
