[INFO] | 2024-11-10 07:38:17 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Analysis started at: 2024-11-10 07:38:17 AM
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Processed function onlyOwner
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Processed function transfer
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Processed function withdraw
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Value Range Analysis took 0.001574 seconds
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Dependency detection started!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Static Analysis took 0.982422 seconds
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Dependency does not exist
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Analysis finished!
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Analysis took 0.982628 seconds
[INFO] | 2024-11-10 07:38:18 AM | analyzer.0xbd8dbefb4e1217e95fa37201c61daf4b57a9fe19 | Analysis finished at: 2024-11-10 07:38:18 AM
