[INFO] | 2024-11-10 07:39:44 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Analysis started at: 2024-11-10 07:39:44 AM
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Range graph generated
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Processed function Sort
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Generating return summary for onlyowner
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Return summary generated for onlyowner
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Processed function onlyowner
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Generating return summary for Count
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Return summary generated for Count
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Range graph generated
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Processed function Count
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Generating return summary for fallback
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Return summary generated for fallback
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Range graph generated
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Processed function fallback
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Value Range Analysis took 0.004058 seconds
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Value Range Analysis finished
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Dependency detection started!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Dependency detection finished!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Static Analysis took 0.905307 seconds
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Dependency does not exist
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Analysis finished!
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Analysis took 0.905574 seconds
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0xebbe139afc4f0706cc928311b6748701b6549a31 | Analysis finished at: 2024-11-10 07:39:45 AM
