[INFO] | 2024-11-10 07:38:50 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Analysis started at: 2024-11-10 07:38:50 AM
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Processed function getTarget
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Generating return summary for listAgents
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Return summary generated for listAgents
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Processed function listAgents
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Generating return summary for returnBalanseToTarget
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Return summary generated for returnBalanseToTarget
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Processed function returnBalanseToTarget
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Processed function fallback
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Value Range Analysis took 0.003261 seconds
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Dependency detection started!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Dependency detection finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Static Analysis took 1.494452 seconds
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Dependency does not exist
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Analysis finished!
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Analysis took 1.494903 seconds
[INFO] | 2024-11-10 07:38:51 AM | analyzer.0x505766c3aef3ea43cf7e1bf9620e52607d45885e | Analysis finished at: 2024-11-10 07:38:51 AM
