[INFO] | 2024-11-10 07:41:29 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Analysis started at: 2024-11-10 07:41:29 AM
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Generating return summary for Put
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Return summary generated for Put
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Range graph generated
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Processed function Put
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Generating return summary for Collect
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Return summary generated for Collect
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Range graph generated
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Processed function Collect
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Generating return summary for fallback
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Return summary generated for fallback
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Range graph generated
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Processed function fallback
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Value Range Analysis took 0.003571 seconds
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Value Range Analysis finished
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Dependency detection started!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Dependency detection finished!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Static Analysis took 0.921586 seconds
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Dependency does not exist
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Analysis finished!
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Analysis took 0.921867 seconds
[INFO] | 2024-11-10 07:41:30 AM | analyzer.0x10452f898766f59a8514dc6856ff62bbdc6a0f51 | Analysis finished at: 2024-11-10 07:41:30 AM
