[INFO] | 2024-11-10 07:43:53 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Analysis started at: 2024-11-10 07:43:53 AM
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Dependency detection started!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Dependency detection finished!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Static Analysis took 0.812706 seconds
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Dependency does not exist
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Analysis finished!
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Analysis took 0.812951 seconds
[INFO] | 2024-11-10 07:43:54 AM | analyzer.0xfbe2fff3145e08a21a9d9c8d5f20c01706939647 | Analysis finished at: 2024-11-10 07:43:54 AM
