[INFO] | 2024-11-10 07:40:03 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Analysis started at: 2024-11-10 07:40:03 AM
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for sub
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for sub
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function sub
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for add
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for add
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function add
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for constructor
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for constructor
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Range graph generated
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function constructor
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for getBalance
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for getBalance
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function getBalance
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for onlyContractOwner
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for onlyContractOwner
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function onlyContractOwner
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for updateAd
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for updateAd
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Range graph generated
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function updateAd
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for updateInvestor
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for updateInvestor
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Range graph generated
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function updateInvestor
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for getPurchaseTimestampEnds
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for getPurchaseTimestampEnds
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function getPurchaseTimestampEnds
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function withdraw
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Generating return summary for setAdPriceMultiple
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Return summary generated for setAdPriceMultiple
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Range graph generated
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Processed function setAdPriceMultiple
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Value Range Analysis took 0.008559 seconds
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Value Range Analysis finished
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Dependency detection started!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Dependency detection finished!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Static Analysis took 1.518663 seconds
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Dependency does not exist
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Analysis finished!
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Analysis took 1.518916 seconds
[INFO] | 2024-11-10 07:40:05 AM | analyzer.0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080 | Analysis finished at: 2024-11-10 07:40:05 AM
