[INFO] | 2024-11-10 07:37:51 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Analysis started at: 2024-11-10 07:37:51 AM
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Processed function SetLogFile
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Generating return summary for Initialized
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Return summary generated for Initialized
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Range graph generated
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Processed function Initialized
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Range graph generated
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Generating return summary for AddMessage
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Return summary generated for AddMessage
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Range graph generated
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Processed function AddMessage
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Generating return summary for Deposit
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Return summary generated for Deposit
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Range graph generated
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Processed function Deposit
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Generating return summary for Collect
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Return summary generated for Collect
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Range graph generated
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Processed function Collect
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Range graph generated
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Processed function fallback
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Value Range Analysis took 0.004548 seconds
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Dependency detection started!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | DAO dependency detected in file 0xd518db222f37f9109db8e86e2789186c7e340f12.sol in contract D_BANK in by composing functions Collect and SetLogFile
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | DAO dependency detected in file 0xd518db222f37f9109db8e86e2789186c7e340f12.sol in contract D_BANK in by composing functions Collect and Collect
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Static Analysis took 1.425630 seconds
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Dependency exists
[INFO] | 2024-11-10 07:37:52 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Invoking symbolic executor!
[INFO] | 2024-11-10 07:37:54 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Symbolic execution took 2.368831 seconds
[INFO] | 2024-11-10 07:37:54 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Symbolic execution finished!
[INFO] | 2024-11-10 07:37:54 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Analysis finished!
[INFO] | 2024-11-10 07:37:54 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Analysis took 3.795162 seconds
[INFO] | 2024-11-10 07:37:54 AM | analyzer.0xd518db222f37f9109db8e86e2789186c7e340f12 | Analysis finished at: 2024-11-10 07:37:54 AM
